Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,156,8,Some Random Commen with Id 0
1,0,7,100,9,Some Random Commen with Id 1
2,0,7,36,4,Some Random Commen with Id 2
3,0,7,135,9,Some Random Commen with Id 3
4,0,7,116,8,Some Random Commen with Id 4
5,0,7,166,7,Some Random Commen with Id 5
6,0,7,129,4,Some Random Commen with Id 6
7,0,7,65,2,Some Random Commen with Id 7
8,0,7,15,8,Some Random Commen with Id 8
9,1,0,151,9,Some Random Commen with Id 9
10,1,0,103,8,Some Random Commen with Id 10
11,1,0,99,7,Some Random Commen with Id 11
12,2,7,27,6,Some Random Commen with Id 12
13,2,7,124,6,Some Random Commen with Id 13
14,2,7,183,0,Some Random Commen with Id 14
15,2,7,23,8,Some Random Commen with Id 15
16,2,7,12,4,Some Random Commen with Id 16
17,2,7,191,5,Some Random Commen with Id 17
18,3,2,53,1,Some Random Commen with Id 18
19,3,2,198,3,Some Random Commen with Id 19
20,5,4,119,2,Some Random Commen with Id 20
21,5,4,43,7,Some Random Commen with Id 21
22,5,4,117,6,Some Random Commen with Id 22
23,5,4,158,4,Some Random Commen with Id 23
24,5,4,193,1,Some Random Commen with Id 24
25,6,5,119,0,Some Random Commen with Id 25
26,6,5,23,0,Some Random Commen with Id 26
27,6,5,47,5,Some Random Commen with Id 27
28,6,5,149,3,Some Random Commen with Id 28
29,6,5,69,7,Some Random Commen with Id 29
30,6,5,193,9,Some Random Commen with Id 30
31,6,5,122,1,Some Random Commen with Id 31
32,6,5,171,3,Some Random Commen with Id 32
33,6,5,176,4,Some Random Commen with Id 33
34,7,5,59,1,Some Random Commen with Id 34
35,8,0,35,0,Some Random Commen with Id 35
36,8,0,127,5,Some Random Commen with Id 36
37,8,0,174,6,Some Random Commen with Id 37
38,8,0,190,0,Some Random Commen with Id 38
39,8,0,43,4,Some Random Commen with Id 39
40,9,2,48,5,Some Random Commen with Id 40
41,9,2,122,6,Some Random Commen with Id 41
42,9,2,101,4,Some Random Commen with Id 42
43,9,2,175,2,Some Random Commen with Id 43
44,10,1,118,6,Some Random Commen with Id 44
45,10,1,98,2,Some Random Commen with Id 45
46,10,1,60,7,Some Random Commen with Id 46
47,10,1,115,8,Some Random Commen with Id 47
48,11,6,29,2,Some Random Commen with Id 48
49,11,6,114,3,Some Random Commen with Id 49
50,11,6,80,8,Some Random Commen with Id 50
51,11,6,137,4,Some Random Commen with Id 51
52,11,6,19,5,Some Random Commen with Id 52
53,11,6,153,1,Some Random Commen with Id 53
54,11,6,39,5,Some Random Commen with Id 54
55,11,6,143,8,Some Random Commen with Id 55
56,11,6,65,6,Some Random Commen with Id 56
57,12,8,159,0,Some Random Commen with Id 57
58,13,4,122,8,Some Random Commen with Id 58
59,13,4,166,9,Some Random Commen with Id 59
60,13,4,121,4,Some Random Commen with Id 60
61,14,1,22,1,Some Random Commen with Id 61
62,14,1,101,5,Some Random Commen with Id 62
63,14,1,58,6,Some Random Commen with Id 63
64,14,1,184,9,Some Random Commen with Id 64
65,15,3,84,1,Some Random Commen with Id 65
66,16,4,1,7,Some Random Commen with Id 66
67,16,4,144,9,Some Random Commen with Id 67
68,16,4,197,6,Some Random Commen with Id 68
69,16,4,174,8,Some Random Commen with Id 69
70,17,5,124,8,Some Random Commen with Id 70
71,17,5,19,5,Some Random Commen with Id 71
72,17,5,122,3,Some Random Commen with Id 72
73,17,5,66,6,Some Random Commen with Id 73
74,17,5,131,3,Some Random Commen with Id 74
75,17,5,34,8,Some Random Commen with Id 75
76,17,5,159,6,Some Random Commen with Id 76
77,18,7,137,6,Some Random Commen with Id 77
78,18,7,187,0,Some Random Commen with Id 78
79,18,7,106,5,Some Random Commen with Id 79
80,18,7,83,4,Some Random Commen with Id 80
81,18,7,92,3,Some Random Commen with Id 81
82,18,7,29,0,Some Random Commen with Id 82
83,18,7,3,7,Some Random Commen with Id 83
84,18,7,6,4,Some Random Commen with Id 84
85,19,9,181,7,Some Random Commen with Id 85
86,19,9,131,1,Some Random Commen with Id 86
87,19,9,194,6,Some Random Commen with Id 87
88,19,9,143,0,Some Random Commen with Id 88
89,20,0,165,4,Some Random Commen with Id 89
90,20,0,102,8,Some Random Commen with Id 90
91,20,0,110,5,Some Random Commen with Id 91
92,20,0,57,9,Some Random Commen with Id 92
93,20,0,112,2,Some Random Commen with Id 93
94,20,0,57,6,Some Random Commen with Id 94
95,20,0,81,0,Some Random Commen with Id 95
96,21,2,82,6,Some Random Commen with Id 96
97,22,0,49,2,Some Random Commen with Id 97
98,22,0,113,3,Some Random Commen with Id 98
99,22,0,70,4,Some Random Commen with Id 99
100,22,0,112,1,Some Random Commen with Id 100
101,22,0,95,5,Some Random Commen with Id 101
102,22,0,21,2,Some Random Commen with Id 102
103,22,0,103,8,Some Random Commen with Id 103
104,23,4,113,4,Some Random Commen with Id 104
105,23,4,195,6,Some Random Commen with Id 105
106,23,4,10,8,Some Random Commen with Id 106
107,23,4,31,3,Some Random Commen with Id 107
108,23,4,92,0,Some Random Commen with Id 108
109,23,4,52,9,Some Random Commen with Id 109
110,24,7,39,5,Some Random Commen with Id 110
111,24,7,43,5,Some Random Commen with Id 111
112,24,7,66,6,Some Random Commen with Id 112
113,24,7,80,6,Some Random Commen with Id 113
114,25,2,14,2,Some Random Commen with Id 114
115,25,2,11,1,Some Random Commen with Id 115
116,26,7,33,0,Some Random Commen with Id 116
117,26,7,68,7,Some Random Commen with Id 117
118,26,7,101,7,Some Random Commen with Id 118
119,26,7,198,4,Some Random Commen with Id 119
120,26,7,106,6,Some Random Commen with Id 120
121,26,7,25,4,Some Random Commen with Id 121
122,26,7,155,4,Some Random Commen with Id 122
123,26,7,63,7,Some Random Commen with Id 123
124,27,7,31,3,Some Random Commen with Id 124
125,27,7,110,7,Some Random Commen with Id 125
126,27,7,150,8,Some Random Commen with Id 126
127,27,7,190,0,Some Random Commen with Id 127
128,27,7,185,4,Some Random Commen with Id 128
129,28,7,78,2,Some Random Commen with Id 129
130,28,7,172,5,Some Random Commen with Id 130
131,28,7,27,2,Some Random Commen with Id 131
132,28,7,75,4,Some Random Commen with Id 132
133,28,7,94,7,Some Random Commen with Id 133
134,28,7,165,4,Some Random Commen with Id 134
135,29,9,6,3,Some Random Commen with Id 135
136,29,9,196,8,Some Random Commen with Id 136
137,30,3,99,2,Some Random Commen with Id 137
138,30,3,175,6,Some Random Commen with Id 138
139,30,3,10,8,Some Random Commen with Id 139
140,31,9,132,8,Some Random Commen with Id 140
141,31,9,131,3,Some Random Commen with Id 141
142,31,9,84,7,Some Random Commen with Id 142
143,31,9,1,3,Some Random Commen with Id 143
144,31,9,67,5,Some Random Commen with Id 144
145,31,9,33,0,Some Random Commen with Id 145
146,31,9,47,4,Some Random Commen with Id 146
147,32,6,39,4,Some Random Commen with Id 147
148,32,6,26,0,Some Random Commen with Id 148
149,32,6,171,2,Some Random Commen with Id 149
150,32,6,98,6,Some Random Commen with Id 150
151,32,6,80,9,Some Random Commen with Id 151
152,32,6,146,3,Some Random Commen with Id 152
153,32,6,114,5,Some Random Commen with Id 153
154,34,3,37,0,Some Random Commen with Id 154
155,34,3,30,0,Some Random Commen with Id 155
156,34,3,47,3,Some Random Commen with Id 156
157,35,1,90,5,Some Random Commen with Id 157
158,35,1,126,3,Some Random Commen with Id 158
159,36,2,72,0,Some Random Commen with Id 159
160,36,2,187,7,Some Random Commen with Id 160
161,36,2,81,8,Some Random Commen with Id 161
162,36,2,32,0,Some Random Commen with Id 162
163,37,6,82,0,Some Random Commen with Id 163
164,37,6,64,6,Some Random Commen with Id 164
